new,lat,lng
0,-31.981505255200076,115.8170333944002
1,-31.981505255200076,115.8170333944002
2,-31.981505255200076,115.8170333944002
3,-31.98150877040005,115.81703415600029
4,-31.981505255200076,115.8170333944002
5,-31.981505255200076,115.8170333944002
6,-31.981505255200076,115.8170333944002
7,-31.981505255200076,115.8170333944002
8,-31.981505255200076,115.8170333944002
9,-31.981505255200076,115.8170333944002
10,-31.98150877040005,115.81703415600029
11,-31.98150877040005,115.81703415600029
12,-31.98150877040005,115.81703415600029
13,-31.98150877040005,115.81703415600029
14,-31.98150877040005,115.81703415600029
15,-31.98150877040005,115.81703415600029
16,-31.98150877040005,115.81703415600029
17,-31.98150877040005,115.81703415600029
18,-31.98150877040005,115.81703415600029
19,-31.98151386240005,115.81703611300028
20,-31.98151530940005,115.81703727640027
21,-31.98151670190004,115.81703794080023
22,-31.98151759010004,115.81703832040024
23,-31.981518750300037,115.81704002000025
24,-31.981524061100053,115.81704321040029
25,-31.981528192900054,115.81704597180034
26,-31.98153102330006,115.81704864000037
27,-31.98153843250006,115.81705401540037
28,-31.981543868900047,115.81705834260035
29,-31.98154721890005,115.81706186060028
30,-31.98154801970005,115.8170639544003
31,-31.98155737760005,115.81707693760028
32,-31.981567498200054,115.81708909280026
33,-31.981568864200046,115.81709220380024
34,-31.981570716600036,115.81709588640025
35,-31.98157446760003,115.81710241220026
36,-31.98157943260002,115.81711111020023
37,-31.981580455200017,115.81711478340024
38,-31.98158181360002,115.81711747820025
39,-31.981581882200004,115.81712026880022
40,-31.981587396000013,115.81712432200017
41,-31.98158781770001,115.81713339240008
42,-31.9815885683,115.8171351784002
43,-31.9815894467,115.8171365160002
44,-31.981591028200008,115.81714183340017
45,-31.98159149080001,115.81714302540009
46,-31.98159266700001,115.81714662780006
47,-31.981596671600006,115.81715381760007
48,-31.9816019368,115.81716232720015
49,-31.98160512920001,115.81716787600016
50,-31.981607021200013,115.81717109240014
51,-31.981609444700037,115.81717639010012
52,-31.981610545900033,115.8171782991001
53,-31.981613555800024,115.81718395630011
54,-31.98161738580004,115.81718606770029
55,-31.98162638160005,115.81720408910016
56,-31.98163872080005,115.8172175733001
57,-31.981639980400043,115.81722608630011
58,-31.981643398200024,115.8172321577001
59,-31.98165265930003,115.8172494867002
60,-31.981653534499966,115.81725294410035
61,-31.981660391299943,115.81726508890031
62,-31.981671403199996,115.81728400730026
63,-31.98167463480003,115.81729261850023
64,-31.981674682800026,115.81729439630021
65,-31.98167733610004,115.81730278840027
66,-31.98167776050005,115.81730832760047
67,-31.981680695599927,115.81731708060032
68,-31.98169093679995,115.81733221100009
69,-31.981695713799926,115.81734026240005
70,-31.981693149999938,115.81734235780006
71,-31.98169120699995,115.8173476160001
72,-31.98169589070003,115.81735844800025
73,-31.981692969700042,115.81736249160026
74,-31.981696830100066,115.81737000320025
75,-31.98169531410007,115.81737763320024
76,-31.98169851390006,115.8173820089002
77,-31.981696782600046,115.8173999055
78,-31.98169938830004,115.81741235249994
79,-31.9817011259,115.81741959370005
80,-31.98170503450001,115.8174265171001
81,-31.981704878300082,115.81743312870027
82,-31.98170481630009,115.81743736390031
83,-31.981707446400037,115.81744672290043
84,-31.981709188200035,115.81745380340048
85,-31.981709917400032,115.81745982760029
86,-31.981707644400075,115.81746543699997
87,-31.981713750600147,115.8174688442003
88,-31.981713750600147,115.8174688442003
89,-31.981713705300148,115.81748009740005
90,-31.981714307500123,115.81748487800007
91,-31.981714236500117,115.81748688100005
92,-31.98171116770011,115.81749047340003
93,-31.98171108660007,115.81749889840009
94,-31.981715107600063,115.8175001816001
95,-31.981715775800073,115.8175057286002
96,-31.981710849199953,115.8175114730007
97,-31.981711826599994,115.8175156794005
98,-31.981714943599975,115.81751764200051
99,-31.981716099799918,115.81752143550067
100,-31.981719870399974,115.81752415970045
101,-31.9817174817,115.81752896030055
102,-31.981718073700026,115.81753339330038
103,-31.981717185200008,115.81753742240024
104,-31.981718924599996,115.81754055000027
105,-31.981813159299993,115.8175462901003
106,-31.98184411659995,115.81754849620027
107,-31.981843229499937,115.81754927660037
108,-31.981842319099954,115.81755078200032
109,-31.981844561099944,115.81755335880031
110,-31.981845568499963,115.8175544410004
111,-31.98184662889995,115.8175554860004
112,-31.981848493499943,115.81755720000042
113,-31.98184955769994,115.81755807060036
114,-31.981859188299946,115.81756377360038
115,-31.98185883509998,115.81756441460037
116,-31.981881698299983,115.81756522780037
117,-31.98188415929998,115.81756547780041
118,-31.981881833099987,115.81756590480033
119,-31.981881833099987,115.81756590480033
120,-31.981881833099987,115.81756590480033
121,-31.981881833099987,115.81756590480033
122,-31.981881833099987,115.81756590480033
123,-31.981881833099987,115.81756590480033
124,-31.981881833099987,115.81756590480033
125,-31.981881833099987,115.81756590480033
126,-31.981881833099987,115.81756590480033
127,-31.981881833099987,115.81756590480033
128,-31.981881833099987,115.81756590480033
129,-31.981881833099987,115.81756590480033
130,-31.981881833099987,115.81756590480033
131,-31.981881833099987,115.81756590480033
132,-31.981881833099987,115.81756590480033
133,-31.981881833099987,115.81756590480033
134,-31.981881833099987,115.81756590480033
135,-31.981881833099987,115.81756590480033
136,-31.981881833099987,115.81756590480033
137,-31.981881833099987,115.81756590480033
138,-31.981881833099987,115.81756590480033
139,-31.981881833099987,115.81756590480033
140,-31.981881833099987,115.81756590480033
141,-31.981881833099987,115.81756590480033
142,-31.981881833099987,115.81756590480033
143,-31.981881833099987,115.81756590480033
144,-31.981881833099987,115.81756590480033
145,-31.981881833099987,115.81756590480033
146,-31.981881833099987,115.81756590480033
147,-31.981881833099987,115.81756590480033
148,-31.981881833099987,115.81756590480033
149,-31.981881833099987,115.81756590480033
150,-31.981881833099987,115.81756590480033
151,-31.981881833099987,115.81756590480033
152,-31.981881833099987,115.81756590480033
153,-31.981881833099987,115.81756590480033
154,-31.981881833099987,115.81756590480033
155,-31.981881833099987,115.81756590480033
156,-31.981881833099987,115.81756590480033
157,-31.981881833099987,115.81756590480033
158,-31.981881833099987,115.81756590480033
159,-31.981881833099987,115.81756590480033
160,-31.981881833099987,115.81756590480033
161,-31.981881833099987,115.81756590480033
162,-31.981881833099987,115.81756590480033
163,-31.981881833099987,115.81756590480033
164,-31.981881833099987,115.81756590480033
165,-31.981881833099987,115.81756590480033
166,-31.981881833099987,115.81756590480033
167,-31.981881833099987,115.81756590480033
168,-31.981881833099987,115.81756590480033
169,-31.981881833099987,115.81756590480033
170,-31.981881833099987,115.81756590480033
171,-31.981881833099987,115.81756590480033
172,-31.981881833099987,115.81756590480033
173,-31.981881833099987,115.81756590480033
174,-31.981881833099987,115.81756590480033
175,-31.981881833099987,115.81756590480033
176,-31.981881833099987,115.81756590480033
177,-31.981881833099987,115.81756590480033
178,-31.981881833099987,115.81756590480033
179,-31.981881833099987,115.81756590480033
180,-31.981881833099987,115.81756590480033
181,-31.981881833099987,115.81756590480033
182,-31.981881833099987,115.81756590480033
183,-31.981881833099987,115.81756590480033
184,-31.981881833099987,115.81756590480033
185,-31.981881833099987,115.81756590480033
186,-31.981881833099987,115.81756590480033
187,-31.981881833099987,115.81756590480033
188,-31.981881833099987,115.81756590480033
189,-31.981881833099987,115.81756590480033
190,-31.981881833099987,115.81756590480033
191,-31.981881833099987,115.81756590480033
192,-31.981881833099987,115.81756590480033
193,-31.981881833099987,115.81756590480033
194,-31.981881833099987,115.81756590480033
195,-31.981881833099987,115.81756590480033
196,-31.981881833099987,115.81756590480033
197,-31.981881833099987,115.81756590480033
